athlete_id,sex,height_cm,weight_kg,province,has_anthro,lifetime_pb,cutoff_16_group,cutoff_17_group,cutoff_18_group,cutoff_19_group,cutoff_20_group,cutoff_21_group,cutoff_22_group,cutoff_23_group,cutoff_24_group,cutoff_25_group,cutoff_26_group
5b4110f7e6101edf,F,161.0,51.0,P02,True,12.68,A,A,A,A,B,B,B,B,B,B,B
ccc555ed78c71161,M,,,,False,12.15,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
60ca349a3a8fff88,F,168.0,55.0,,True,12.88,A,B,B,B,B,B,B,B,B,B,B
89034116d4631a3b,F,,,P20,False,12.56,excluded,excluded,excluded,excluded,excluded,excluded,A,B,B,B,B
0933d7bace0a5c7b,M,175.0,60.0,P28,True,11.03,A,A,B,B,B,B,B,B,B,B,B
ed4efd778136bbc5,M,180.0,70.0,P09,True,10.94,excluded,excluded,excluded,excluded,excluded,excluded,A,B,B,B,B
a6e6b33f086cbdbc,M,,,P14,False,10.44,excluded,excluded,excluded,excluded,A,A,A,A,A,B,B
f519840ae99aa64c,F,,,P18,False,13.24,A,B,B,B,B,B,B,B,B,B,B
41839ed0f7ba598a,M,,,P28,False,11.68,A,A,B,B,B,B,B,B,B,B,B
eef3f54cdd8b21ed,M,,,P23,False,11.42,excluded,A,A,B,B,B,B,B,B,B,B
2c82576b32dbe8cf,M,178.0,53.0,P04,True,10.9,excluded,excluded,A,A,A,B,B,B,B,B,B
dbf41bfd172b881c,M,,,P03,False,12.17,excluded,excluded,A,B,B,B,B,B,B,B,B
e23484f67077dc64,F,,,,False,12.96,excluded,A,A,B,B,B,B,B,B,B,B
d7d1d01eec900cc1,M,,,,False,11.71,A,B,B,B,B,B,B,B,B,B,B
fae97502221454d7,M,,,P12,False,12.42,B,B,B,B,B,B,B,B,B,B,B
e280ae4989d6aa74,M,,,P10,False,11.67,excluded,excluded,A,B,B,B,B,B,B,B,B
2f11ee4a2ddf08fe,M,,,P10,False,11.93,excluded,excluded,A,B,B,B,B,B,B,B,B
218bd7c4657f97c5,M,,,P28,False,11.42,excluded,A,B,B,B,B,B,B,B,B,B
63ae3d70ed964585,M,,,P25,False,11.14,excluded,excluded,A,A,B,B,B,B,B,B,B
f428f752e9f84984,F,,,P17,False,12.54,excluded,A,A,A,B,B,B,B,B,B,B
d0ca92a90d294bb4,F,,,P10,False,12.43,excluded,A,A,B,B,B,B,B,B,B,B
5b3a63cddb092ece,M,,,P10,False,11.38,excluded,A,A,B,B,B,B,B,B,B,B
45d17f5e5920ca71,M,,,P28,False,11.7,excluded,excluded,A,B,B,B,B,B,B,B,B
763ad4b01147423c,F,,,P00,False,12.06,excluded,excluded,A,A,A,A,B,B,B,B,B
2993adc9e894e4ac,M,,,P20,False,10.22,excluded,excluded,A,A,A,A,A,A,A,A,A
092585426ccea50d,M,,,P23,False,11.19,excluded,excluded,A,A,B,B,B,B,B,B,B
c748d20b2ba85102,M,,,P09,False,11.6,excluded,excluded,excluded,B,B,B,B,B,B,B,B
869a261b170f6498,M,,,P20,False,11.06,excluded,A,A,B,B,B,B,B,B,B,B
af069fda9bb98dd7,M,169.0,66.0,P09,True,12.16,B,B,B,B,B,B,B,B,B,B,B
ee6e853b6d9dafb0,F,163.0,43.0,P20,True,12.16,excluded,excluded,excluded,excluded,A,A,A,B,B,B,B
22347099f3d58b4e,F,,,P13,False,12.15,A,A,B,B,B,B,B,B,B,B,B
2205d47751d6cd3d,M,186.0,70.0,,True,12.27,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
d87a6d8220d7942c,M,,,P17,False,12.21,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
f3585e01a4e1610f,F,164.0,55.0,P03,True,11.04,excluded,excluded,excluded,excluded,excluded,excluded,A,A,A,A,B
958e65e71ab36cbb,F,164.0,55.0,P11,True,13.14,excluded,excluded,excluded,excluded,A,B,B,B,B,B,B
3eb9d1e42fe98b47,F,171.0,53.0,,True,12.58,excluded,excluded,A,B,B,B,B,B,B,B,B
436df54a6e751715,M,,,P12,False,11.71,A,A,B,B,B,B,B,B,B,B,B
96f057992072ec0b,F,165.0,50.0,P05,True,12.76,excluded,A,A,A,B,B,B,B,B,B,B
ffd85b8bc8b68b36,M,,,,False,11.71,excluded,excluded,excluded,B,B,B,B,B,B,B,B
e4b155558f3c65ad,M,,,P04,False,11.37,A,A,B,B,B,B,B,B,B,B,B
553c10d15f79b0aa,F,,,P10,False,12.77,A,A,B,B,B,B,B,B,B,B,B
b4b70333fee07667,M,,,P17,False,11.95,excluded,excluded,A,B,B,B,B,B,B,B,B
06a39b0df0643ad8,M,,,P14,False,11.76,excluded,excluded,A,B,B,B,B,B,B,B,B
fa3a760a51052dad,F,169.0,58.0,P25,True,12.93,excluded,excluded,A,A,B,B,B,B,B,B,B
87fcd67e78e36d61,F,170.0,51.0,P15,True,11.74,excluded,excluded,excluded,excluded,excluded,excluded,A,A,B,B,B
20ce8a3ad1f704c0,M,,,P28,False,11.93,A,A,B,B,B,B,B,B,B,B,B
d7f89522a3ec1113,M,,,,False,11.78,excluded,B,B,B,B,B,B,B,B,B,B
252ddaadd2c7b834,M,176.0,59.0,P17,True,11.52,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
e5a4e0dab790687d,M,,,P20,False,10.72,excluded,excluded,excluded,excluded,B,B,B,B,B,B,B
3349eefddab55c39,M,,,,False,11.45,excluded,excluded,excluded,B,B,B,B,B,B,B,B
7e3bdff164d708d2,M,,,,False,11.58,excluded,excluded,excluded,B,B,B,B,B,B,B,B
9f118d19eb4c7629,F,166.0,55.0,P23,True,12.24,excluded,excluded,A,B,B,B,B,B,B,B,B
f5077f1d84ba04a7,F,,,P21,False,13.31,A,B,B,B,B,B,B,B,B,B,B
d0aa86dd833c0dc7,M,,,,False,10.87,excluded,excluded,A,A,A,B,B,B,B,B,B
2cc1d6e523ead9d1,M,,,,False,11.81,excluded,excluded,B,B,B,B,B,B,B,B,B
2a14d8f4c79ca007,F,167.0,48.0,P30,True,12.03,excluded,A,A,A,B,B,B,B,B,B,B
6513d0586a476452,F,,,P17,False,12.55,A,A,A,B,B,B,B,B,B,B,B
9bfe0bb6b901b340,M,170.0,60.0,P09,True,11.88,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
4b108503f2f5dcbd,F,,,P09,False,12.82,A,A,B,B,B,B,B,B,B,B,B
b9f54e3524869499,F,,,P09,False,12.82,A,A,B,B,B,B,B,B,B,B,B
0a514bb3e20c91eb,M,175.0,65.0,P20,True,11.48,excluded,excluded,A,B,B,B,B,B,B,B,B
0a4c43f027d5ccb4,F,,,P23,False,12.57,excluded,A,A,A,A,B,B,B,B,B,B
19467b68f8b681e4,F,,,P12,False,12.77,excluded,excluded,excluded,excluded,A,B,B,B,B,B,B
bb70591970260907,F,,,P09,False,13.14,B,B,B,B,B,B,B,B,B,B,B
d963de0bfd52aa4c,M,,,P17,False,11.41,excluded,excluded,A,B,B,B,B,B,B,B,B
0de3d3899905a02c,M,,,P23,False,11.16,B,B,B,B,B,B,B,B,B,B,B
ef368c6a92175967,M,,,,False,12.21,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
220be28e4b74e410,F,,,P09,False,13.36,A,B,B,B,B,B,B,B,B,B,B
dd12aac5bf9aa384,F,,,P28,False,12.44,excluded,excluded,A,B,B,B,B,B,B,B,B
77225242ced32cdc,M,,,P12,False,10.89,excluded,A,A,B,B,B,B,B,B,B,B
7028bf197694c0e4,M,175.0,56.0,P20,True,11.56,excluded,B,B,B,B,B,B,B,B,B,B
c8524c084f6a5edb,F,,,P17,False,11.96,excluded,excluded,A,A,A,A,A,B,B,B,B
6b63d038c6ed9a59,M,176.0,,P10,False,12.38,excluded,B,B,B,B,B,B,B,B,B,B
eb83d65c9f4c4a21,F,,,P18,False,11.65,excluded,excluded,excluded,A,A,A,A,A,B,B,B
eae705f0100117d3,F,,,P28,False,11.89,excluded,excluded,A,A,B,B,B,B,B,B,B
cfb08b4bf1e7f3ff,M,,,P17,False,12.11,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
051555c2929838b8,F,163.0,51.0,P23,True,13.03,excluded,excluded,excluded,B,B,B,B,B,B,B,B
b8f00ecfa9765682,M,180.0,68.0,P20,True,11.99,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
b9759e70054f1657,F,,,P10,False,12.44,excluded,A,A,B,B,B,B,B,B,B,B
405712acedb328e8,M,186.0,60.0,P10,True,10.83,excluded,excluded,A,B,B,B,B,B,B,B,B
ee41e20a0889f603,F,164.0,48.0,P24,True,12.23,excluded,excluded,excluded,excluded,excluded,A,A,A,A,A,B
4e33b3edbb8350ae,M,,,,False,10.9,excluded,excluded,A,A,B,B,B,B,B,B,B
db5ba9ab8cac2836,M,,,P10,False,14.27,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
d69392beff8edf55,M,180.0,65.0,,True,12.7,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
fbb15f9e97c77937,F,165.0,52.0,P10,True,12.87,excluded,A,A,B,B,B,B,B,B,B,B
91d8fab2dff492ef,F,,,P14,False,13.17,excluded,excluded,A,B,B,B,B,B,B,B,B
31e6aa441b5a311a,F,,,,False,12.69,A,B,B,B,B,B,B,B,B,B,B
25e04f0db20cf17d,F,,,P12,False,12.5,excluded,A,A,B,B,B,B,B,B,B,B
c7428417b96bb3bb,M,,,,False,11.91,excluded,excluded,excluded,B,B,B,B,B,B,B,B
495d46a191087715,F,169.0,59.0,P15,True,12.89,excluded,excluded,A,A,A,B,B,B,B,B,B
