seed,fold,variant,model,r2,cutoff_age,sex,n
44,3,full_no_anthro,GradientBoosting,0.5775752902372793,16,Male,957
44,4,trajectory_only,Ridge,0.6056199193044187,16,Male,957
44,4,trajectory_only,GradientBoosting,0.5817705461921396,16,Male,957
44,4,traj_wind,Ridge,0.5982277132952512,16,Male,957
44,4,traj_wind,GradientBoosting,0.5929757114478291,16,Male,957
44,4,full_no_anthro,Ridge,0.632360760644618,16,Male,957
44,4,full_no_anthro,GradientBoosting,0.605304336946739,16,Male,957
45,0,trajectory_only,Ridge,0.6200262825342738,16,Male,957
45,0,trajectory_only,GradientBoosting,0.6134966468446825,16,Male,957
45,0,traj_wind,Ridge,0.6265306167461346,16,Male,957
45,0,traj_wind,GradientBoosting,0.6349424102009731,16,Male,957
45,0,full_no_anthro,Ridge,0.639062580568962,16,Male,957
45,0,full_no_anthro,GradientBoosting,0.6414139305397359,16,Male,957
45,1,trajectory_only,Ridge,0.6218812140148995,16,Male,957
45,1,trajectory_only,GradientBoosting,0.5825845778609905,16,Male,957
45,1,traj_wind,Ridge,0.6329468468982384,16,Male,957
45,1,traj_wind,GradientBoosting,0.6201954487091286,16,Male,957
45,1,full_no_anthro,Ridge,0.6741986893011371,16,Male,957
45,1,full_no_anthro,GradientBoosting,0.6502254541438506,16,Male,957
45,2,trajectory_only,Ridge,0.6606089978913766,16,Male,957
45,2,trajectory_only,GradientBoosting,0.640163906167341,16,Male,957
45,2,traj_wind,Ridge,0.6513966098800068,16,Male,957
45,2,traj_wind,GradientBoosting,0.641952902592267,16,Male,957
45,2,full_no_anthro,Ridge,0.6844195938835274,16,Male,957
45,2,full_no_anthro,GradientBoosting,0.6699778140427359,16,Male,957
45,3,trajectory_only,Ridge,0.5718378455146014,16,Male,957
45,3,trajectory_only,GradientBoosting,0.4992708160574232,16,Male,957
45,3,traj_wind,Ridge,0.5687403385800547,16,Male,957
45,3,traj_wind,GradientBoosting,0.5285902522143116,16,Male,957
45,3,full_no_anthro,Ridge,0.5712900315076268,16,Male,957
45,3,full_no_anthro,GradientBoosting,0.5314254022691253,16,Male,957
45,4,trajectory_only,Ridge,0.6858534129890693,16,Male,957
45,4,trajectory_only,GradientBoosting,0.6403670641020835,16,Male,957
45,4,traj_wind,Ridge,0.6790381797528571,16,Male,957
45,4,traj_wind,GradientBoosting,0.6463572885181358,16,Male,957
45,4,full_no_anthro,Ridge,0.7009536968145258,16,Male,957
45,4,full_no_anthro,GradientBoosting,0.6524882438760857,16,Male,957
46,0,trajectory_only,Ridge,0.6111228142924219,16,Male,957
46,0,trajectory_only,GradientBoosting,0.5998134253874632,16,Male,957
46,0,traj_wind,Ridge,0.6149022191136696,16,Male,957
46,0,traj_wind,GradientBoosting,0.6059813650325621,16,Male,957
46,0,full_no_anthro,Ridge,0.6364096516923823,16,Male,957
46,0,full_no_anthro,GradientBoosting,0.6470922383474598,16,Male,957
46,1,trajectory_only,Ridge,0.6609457701731911,16,Male,957
46,1,trajectory_only,GradientBoosting,0.5797938558096132,16,Male,957
46,1,traj_wind,Ridge,0.6667739460737211,16,Male,957
46,1,traj_wind,GradientBoosting,0.6050648507258752,16,Male,957
46,1,full_no_anthro,Ridge,0.6964344602963141,16,Male,957
46,1,full_no_anthro,GradientBoosting,0.6398363250689076,16,Male,957
46,2,trajectory_only,Ridge,0.6056675077331941,16,Male,957
46,2,trajectory_only,GradientBoosting,0.5997956095424821,16,Male,957
46,2,traj_wind,Ridge,0.6034247206153323,16,Male,957
46,2,traj_wind,GradientBoosting,0.5862267978651847,16,Male,957
46,2,full_no_anthro,Ridge,0.6221575592446662,16,Male,957
46,2,full_no_anthro,GradientBoosting,0.6145214009673634,16,Male,957
46,3,trajectory_only,Ridge,0.6522251992073818,16,Male,957
46,3,trajectory_only,GradientBoosting,0.6233212031218169,16,Male,957
46,3,traj_wind,Ridge,0.6472131230248592,16,Male,957
46,3,traj_wind,GradientBoosting,0.6233547970972535,16,Male,957
46,3,full_no_anthro,Ridge,0.6563947692848798,16,Male,957
46,3,full_no_anthro,GradientBoosting,0.6274318701536516,16,Male,957
46,4,trajectory_only,Ridge,0.604445718696039,16,Male,957
46,4,trajectory_only,GradientBoosting,0.615164960058419,16,Male,957
46,4,traj_wind,Ridge,0.610731351963363,16,Male,957
46,4,traj_wind,GradientBoosting,0.6184812805296312,16,Male,957
46,4,full_no_anthro,Ridge,0.6394937323635074,16,Male,957
46,4,full_no_anthro,GradientBoosting,0.6461652103157385,16,Male,957
47,0,trajectory_only,Ridge,0.6450812534534487,16,Male,957
47,0,trajectory_only,GradientBoosting,0.5888343993837818,16,Male,957
47,0,traj_wind,Ridge,0.6463203858606209,16,Male,957
47,0,traj_wind,GradientBoosting,0.6142396247029283,16,Male,957
47,0,full_no_anthro,Ridge,0.6697945811842194,16,Male,957
47,0,full_no_anthro,GradientBoosting,0.6303364988726302,16,Male,957
47,1,trajectory_only,Ridge,0.6993298870183264,16,Male,957
47,1,trajectory_only,GradientBoosting,0.5944299427802475,16,Male,957
47,1,traj_wind,Ridge,0.6983637740292101,16,Male,957
47,1,traj_wind,GradientBoosting,0.6267585814645666,16,Male,957
47,1,full_no_anthro,Ridge,0.7194298620148585,16,Male,957
47,1,full_no_anthro,GradientBoosting,0.6597254633200551,16,Male,957
47,2,trajectory_only,Ridge,0.6249349607836128,16,Male,957
47,2,trajectory_only,GradientBoosting,0.6395207676837431,16,Male,957
47,2,traj_wind,Ridge,0.6276847694799703,16,Male,957
47,2,traj_wind,GradientBoosting,0.6171629292392824,16,Male,957
47,2,full_no_anthro,Ridge,0.6339350281260763,16,Male,957
47,2,full_no_anthro,GradientBoosting,0.6584511249906209,16,Male,957
47,3,trajectory_only,Ridge,0.5539930769113011,16,Male,957
47,3,trajectory_only,GradientBoosting,0.5614313261727181,16,Male,957
47,3,traj_wind,Ridge,0.559483538037968,16,Male,957
47,3,traj_wind,GradientBoosting,0.5397354225959012,16,Male,957
47,3,full_no_anthro,Ridge,0.5974114227807461,16,Male,957
47,3,full_no_anthro,GradientBoosting,0.577047760424147,16,Male,957
47,4,trajectory_only,Ridge,0.6539953919314715,16,Male,957
47,4,trajectory_only,GradientBoosting,0.6507442333703857,16,Male,957
47,4,traj_wind,Ridge,0.6547589079339264,16,Male,957
47,4,traj_wind,GradientBoosting,0.6597499056722463,16,Male,957
47,4,full_no_anthro,Ridge,0.6843792982855309,16,Male,957
47,4,full_no_anthro,GradientBoosting,0.6806159082444027,16,Male,957
48,0,trajectory_only,Ridge,0.6566048111671283,16,Male,957
48,0,trajectory_only,GradientBoosting,0.6497082387755162,16,Male,957
