cutoff_age,sex,variant,model,cv_strategy,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,RMSE_std,MAE_mean,MAE_ci_lo,MAE_ci_hi,MAE_std,n_samples,n_folds,n_repeats
16,Male,trajectory_only,Ridge,random,0.8722059886476271,0.8366410075707116,0.9018601366723513,0.016539026747596847,0.19804249286439363,0.1775897083626195,0.21801595107325536,0.010491138520066213,0.1378812790013855,0.1282690853351274,0.14731450867423954,0.004891054225315145,2555,5.0,500.0
16,Male,trajectory_only,RandomForest,random,0.8647049007333099,0.828576463889337,0.8938547819315148,0.016635196389739253,0.20384826963079578,0.1832232495967924,0.22490672985094556,0.01067089730754848,0.14367105049137127,0.13379353855808582,0.15385768579514975,0.005089898708752953,2555,5.0,500.0
16,Male,trajectory_only,GradientBoosting,random,0.8707126827331193,0.8362949551352836,0.899655028065565,0.016008223145987623,0.19924103924487369,0.17956908343569508,0.21866337966742344,0.010070856762270273,0.13766920190721482,0.12808050312198166,0.1474327184699619,0.004982648715811106,2555,5.0,500.0
16,Male,traj_wind,Ridge,random,0.8721729953217586,0.8367025881705122,0.901930281548289,0.01651680018682677,0.19806881278750646,0.17767142689979545,0.21803406210122508,0.010464405735224188,0.13782157606866666,0.12836270608949366,0.14724366410555573,0.004935646401178731,2555,5.0,500.0
16,Male,traj_wind,RandomForest,random,0.8657720556428968,0.8292309859662806,0.8954693787612216,0.01681430739818087,0.20301269782739872,0.18220092810542732,0.2238298553568338,0.010617988042170684,0.14344673635446956,0.13377034678808924,0.15331056442163374,0.004989968238549358,2555,5.0,500.0
16,Male,traj_wind,GradientBoosting,random,0.8701220751768591,0.8355827664517963,0.8988744908310645,0.01613639388215268,0.19969150608250893,0.18008946222652109,0.2194410062685116,0.010123669285720225,0.13796164292217844,0.12820417818056004,0.14776741335457907,0.005015992374415654,2555,5.0,500.0
16,Female,trajectory_only,Ridge,random,0.9269745331954952,0.8871972252917163,0.9553859564167226,0.01728963931788864,0.19643664264037142,0.15785113448118135,0.2401519114134586,0.020859338022623707,0.12647488103512491,0.11091717390196222,0.1430499300469228,0.008344689237386675,1086,5.0,500.0
16,Female,trajectory_only,RandomForest,random,0.9166259545218096,0.8820848970785743,0.9437336774327407,0.01584315218784804,0.21052052645569816,0.17484963211352272,0.24670608657854487,0.018379764014444536,0.1413965731094195,0.12538578382347135,0.15841936456189426,0.008556323737764354,1086,5.0,500.0
16,Female,trajectory_only,GradientBoosting,random,0.918923566916034,0.8829598244228075,0.9458932711791014,0.01588881177530764,0.20747750114110713,0.1732832802197976,0.24448524456388362,0.018049613019440015,0.13548826789903906,0.11907505469213796,0.1519981577793284,0.008529853495665709,1086,5.0,500.0
16,Female,traj_wind,Ridge,random,0.925264060049257,0.8856158858834978,0.9543255445677203,0.017677431063881404,0.1987276692635138,0.15977463510147835,0.24188608700685887,0.021070008875143875,0.12802927929692084,0.11216969713341456,0.1449993614231242,0.008398439124027775,1086,5.0,500.0
