block,cutoff_age,sex,model,n,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,ci_width,n_repeats
B,16,Male,Ridge,95,-0.6903860706601288,-7.83912560627994,0.5958813470752481,0.3319634479503894,8.435006953355188,500
B,16,Male,GradientBoosting,95,0.09065557061444986,-0.9565109549245341,0.5291935888186535,0.2732988683411996,1.4857045437431875,500
B,17,Male,Ridge,95,0.1781556001488483,-1.1780309679976002,0.7399259440409482,0.2425426938082397,1.9179569120385485,500
B,17,Male,GradientBoosting,95,0.32688801999743583,-0.3300376584353432,0.6462248922756901,0.23590606194236716,0.9762625507110334,500
B,18,Male,Ridge,95,-0.18570888315104372,-5.132023328160514,0.8013445661275745,0.27335372774443434,5.9333678942880885,500
B,18,Male,GradientBoosting,95,0.5035959151868755,-0.09396833328994432,0.8010333747575996,0.20085982061357094,0.895001708047544,500
B,16,Female,Ridge,58,-0.7813110720451976,-5.3486940201831,0.7122357425991566,0.4493939923155629,6.060929762782257,500
B,16,Female,GradientBoosting,58,0.10767873389576521,-1.4835843357438168,0.7543342148615727,0.3488155908701751,2.2379185506053894,500
B,17,Female,Ridge,58,0.2807951697472605,-0.9004949203828087,0.8177088622190625,0.2951766511196792,1.7182037826018712,500
B,17,Female,GradientBoosting,58,0.35170890875115085,-0.9339683094304062,0.8479586293863677,0.2950529707317628,1.781926938816774,500
B,18,Female,Ridge,58,-1.7671052023638534,-14.983536470168202,0.8052633947910975,0.44241075232992627,15.7887998649593,500
B,18,Female,GradientBoosting,58,0.3583721770168331,-0.857435152620434,0.8400365052691267,0.2979214037251988,1.6974716578895608,500
