cutoff_age,sex,n,spec_a,spec_b,r2_a,r2_b,delta_mean,delta_ci_lo,delta_ci_hi,pct_folds_a_better,excludes_zero,naive_ci_a,naive_ci_b,n_repeats
16,Female,452,traj_wind|GradientBoosting,traj_wind|Ridge,0.6277870136741567,0.5699518295280276,0.05783518414612905,-0.09403264491909226,0.21472451555955402,76.88000000000001,False,"[0.455, 0.751]","[0.321, 0.718]",500
16,Female,452,traj_wind|GradientBoosting,trajectory_only|GradientBoosting,0.6277870136741567,0.6335367593522843,-0.00574974567812754,-0.08580095443901115,0.06462617488124207,45.28,False,"[0.455, 0.751]","[0.460, 0.757]",500
16,Female,452,traj_wind|GradientBoosting,trajectory_only|Ridge,0.6277870136741567,0.5715663055775115,0.05622070809664515,-0.09479582805966996,0.210586121886264,76.68,False,"[0.455, 0.751]","[0.328, 0.720]",500
16,Female,452,traj_wind|Ridge,trajectory_only|GradientBoosting,0.5699518295280276,0.6335367593522843,-0.06358492982425659,-0.22031605809733917,0.08622670006968691,20.64,False,"[0.321, 0.718]","[0.460, 0.757]",500
16,Female,452,traj_wind|Ridge,trajectory_only|Ridge,0.5699518295280276,0.5715663055775115,-0.0016144760494838963,-0.035010986447766075,0.023226344733575488,49.6,False,"[0.321, 0.718]","[0.328, 0.720]",500
16,Female,452,trajectory_only|GradientBoosting,trajectory_only|Ridge,0.6335367593522843,0.5715663055775115,0.061970453774772706,-0.08310774854406856,0.22227134092678175,79.36,False,"[0.460, 0.757]","[0.328, 0.720]",500
17,Male,2889,full_no_anthro|GradientBoosting,full_no_anthro|Ridge,0.748595264847179,0.7522276038772573,-0.0036323390300783054,-0.016593548330352037,0.008627685610377564,29.12,False,"[0.710, 0.782]","[0.715, 0.784]",500
17,Male,2889,full_no_anthro|GradientBoosting,traj_wind|GradientBoosting,0.748595264847179,0.7372825290325808,0.011312735814598133,0.0008745657850316058,0.02124204551137512,98.24000000000001,True,"[0.710, 0.782]","[0.697, 0.773]",500
17,Male,2889,full_no_anthro|GradientBoosting,traj_wind|Ridge,0.748595264847179,0.7420494644045352,0.006545800442643724,-0.008646148722459493,0.02093286309391168,81.36,False,"[0.710, 0.782]","[0.703, 0.776]",500
17,Male,2889,full_no_anthro|GradientBoosting,trajectory_only|GradientBoosting,0.748595264847179,0.7374976419511953,0.011097622895983704,-0.0009983437437281416,0.022116491207729343,96.84,False,"[0.710, 0.782]","[0.698, 0.771]",500
17,Male,2889,full_no_anthro|GradientBoosting,trajectory_only|Ridge,0.748595264847179,0.7415343862696676,0.007060878577511367,-0.007478657788965759,0.02171800089633741,83.28,False,"[0.710, 0.782]","[0.702, 0.775]",500
17,Male,2889,full_no_anthro|Ridge,traj_wind|GradientBoosting,0.7522276038772573,0.7372825290325808,0.014945074844676437,0.0012293861230138787,0.028644464590276336,98.28,True,"[0.715, 0.784]","[0.697, 0.773]",500
17,Male,2889,full_no_anthro|Ridge,traj_wind|Ridge,0.7522276038772573,0.7420494644045352,0.010178139472722031,0.001669595513079425,0.017512797334625452,99.03999999999999,True,"[0.715, 0.784]","[0.703, 0.776]",500
17,Male,2889,full_no_anthro|Ridge,trajectory_only|GradientBoosting,0.7522276038772573,0.7374976419511953,0.014729961926062012,0.0008550966254282505,0.028895680316721815,98.11999999999999,True,"[0.715, 0.784]","[0.698, 0.771]",500
17,Male,2889,full_no_anthro|Ridge,trajectory_only|Ridge,0.7522276038772573,0.7415343862696676,0.010693217607589673,0.001819566220963295,0.01883971598610151,99.08,True,"[0.715, 0.784]","[0.702, 0.775]",500
17,Male,2889,traj_wind|GradientBoosting,traj_wind|Ridge,0.7372825290325808,0.7420494644045352,-0.004766935371954407,-0.017493888310919695,0.0075260052124410705,23.799999999999997,False,"[0.697, 0.773]","[0.703, 0.776]",500
17,Male,2889,traj_wind|GradientBoosting,trajectory_only|GradientBoosting,0.7372825290325808,0.7374976419511953,-0.000215112918614428,-0.008337334616841625,0.0077600471636045144,49.68,False,"[0.697, 0.773]","[0.698, 0.771]",500
17,Male,2889,traj_wind|GradientBoosting,trajectory_only|Ridge,0.7372825290325808,0.7415343862696676,-0.004251857237086765,-0.01714017163042267,0.007893664105141666,26.32,False,"[0.697, 0.773]","[0.702, 0.775]",500
17,Male,2889,traj_wind|Ridge,trajectory_only|GradientBoosting,0.7420494644045352,0.7374976419511953,0.00455182245333998,-0.00790729225549798,0.01745837528442904,76.8,False,"[0.703, 0.776]","[0.698, 0.771]",500
17,Male,2889,traj_wind|Ridge,trajectory_only|Ridge,0.7420494644045352,0.7415343862696676,0.0005150781348676425,-0.003339470104990258,0.0034950486188053973,64.2,False,"[0.703, 0.776]","[0.702, 0.775]",500
17,Male,2889,trajectory_only|GradientBoosting,trajectory_only|Ridge,0.7374976419511953,0.7415343862696676,-0.004036744318472337,-0.016444658790031527,0.007525517076342407,25.480000000000004,False,"[0.698, 0.771]","[0.702, 0.775]",500
17,Female,664,full_no_anthro|GradientBoosting,full_no_anthro|Ridge,0.6639425801956459,0.5198292409162898,0.1441133392793561,0.015433451407647698,0.3111640920654493,98.6,True,"[0.531, 0.757]","[0.322, 0.648]",500
17,Female,664,full_no_anthro|GradientBoosting,traj_wind|GradientBoosting,0.6639425801956459,0.6095348106947543,0.054407769500891524,-0.021658678222568888,0.14309783045450905,91.52,False,"[0.531, 0.757]","[0.440, 0.731]",500
17,Female,664,full_no_anthro|GradientBoosting,traj_wind|Ridge,0.6639425801956459,0.4608214383538516,0.20312114184179428,0.0643462202643325,0.40092897498548685,99.64,True,"[0.531, 0.757]","[0.218, 0.608]",500
17,Female,664,full_no_anthro|GradientBoosting,trajectory_only|GradientBoosting,0.6639425801956459,0.6149994153342577,0.04894316486138819,-0.03557136925756607,0.13109099892337306,88.4,False,"[0.531, 0.757]","[0.458, 0.733]",500
17,Female,664,full_no_anthro|GradientBoosting,trajectory_only|Ridge,0.6639425801956459,0.4644698732949634,0.19947270690068242,0.06383462546343965,0.40381434906989777,99.6,True,"[0.531, 0.757]","[0.217, 0.606]",500
17,Female,664,full_no_anthro|Ridge,traj_wind|GradientBoosting,0.5198292409162898,0.6095348106947543,-0.08970556977846458,-0.2710095750050622,0.06470387732292317,13.16,False,"[0.322, 0.648]","[0.440, 0.731]",500
17,Female,664,full_no_anthro|Ridge,traj_wind|Ridge,0.5198292409162898,0.4608214383538516,0.05900780256243816,-0.007847999449636467,0.1415349850774112,96.16,False,"[0.322, 0.648]","[0.218, 0.608]",500
17,Female,664,full_no_anthro|Ridge,trajectory_only|GradientBoosting,0.5198292409162898,0.6149994153342577,-0.09517017441796793,-0.2809428474229351,0.053884175522050395,12.280000000000001,False,"[0.322, 0.648]","[0.458, 0.733]",500
17,Female,664,full_no_anthro|Ridge,trajectory_only|Ridge,0.5198292409162898,0.4644698732949634,0.055359367621326316,-0.014500603276364887,0.1424821179977412,93.67999999999999,False,"[0.322, 0.648]","[0.217, 0.606]",500
17,Female,664,traj_wind|GradientBoosting,traj_wind|Ridge,0.6095348106947543,0.4608214383538516,0.14871337234090273,-0.0068335518157862365,0.36095472436500436,97.16,False,"[0.440, 0.731]","[0.218, 0.608]",500
17,Female,664,traj_wind|GradientBoosting,trajectory_only|GradientBoosting,0.6095348106947543,0.6149994153342577,-0.0054646046395033405,-0.07197678029664886,0.049295815320875055,44.48,False,"[0.440, 0.731]","[0.458, 0.733]",500
