cutoff_age,sex,subgroup,n,pct_of_group_a,R2_mean,R2_ci_lo,R2_ci_hi,RMSE_mean,n_repeats
16,Male,all,958,100.0,0.6056685580878981,0.5014381010034188,0.6869393868527125,0.24493316421143457,500
16,Male,target_is_feature,217,22.7,0.9937806006047128,0.9772878913676847,0.9994034936812889,0.028824212530837712,500
16,Male,genuine_post_cutoff,741,77.3,0.6254828480034333,0.5034204687976275,0.7175976065610278,0.23091523811843817,500
16,Female,all,452,100.0,0.6277870136741567,0.45524402294649086,0.7508677243739434,0.36416866713855617,500
16,Female,target_is_feature,146,32.3,0.9748715654393798,0.8648654318764311,0.998917705913046,0.08737775794409897,500
16,Female,genuine_post_cutoff,306,67.7,0.6182572439195232,0.3892999382506079,0.7601567943727069,0.34190951299803674,500
17,Male,all,2889,100.0,0.7372825290325808,0.6972713636781143,0.772563903637996,0.1956824776973394,500
17,Male,target_is_feature,922,31.9,0.9986182329960218,0.9950250294614017,0.9998647229429961,0.01232886856381152,500
17,Male,genuine_post_cutoff,1967,68.1,0.747907323770112,0.6968749091788093,0.7892365766416488,0.18691269297152274,500
17,Female,all,664,100.0,0.6095348106947543,0.43997157554345584,0.7307448619246901,0.34173125106630386,500
17,Female,target_is_feature,244,36.7,0.991697957411921,0.9510450883901967,0.9994522224228254,0.04672685998523126,500
17,Female,genuine_post_cutoff,420,63.3,0.5391263299527934,0.31175574695786845,0.6926214119330051,0.3417445039296496,500
18,Male,all,2662,100.0,0.7989744952239509,0.7629686900856982,0.8293265336063579,0.17772488718866217,500
18,Male,target_is_feature,1155,43.4,0.9992485161484023,0.9977503786985508,0.9998798194748396,0.00994289925248958,500
18,Male,genuine_post_cutoff,1507,56.6,0.7829910491232774,0.7372037259010007,0.8250587166407027,0.18395319631517076,500
18,Female,all,522,100.0,0.644032792316718,0.4434841216050294,0.7765361972905708,0.29321111800419947,500
18,Female,target_is_feature,241,46.2,0.9947067691443156,0.9836524678762628,0.999554979240417,0.031850388032260056,500
18,Female,genuine_post_cutoff,281,53.8,0.5623534758274432,0.2279409752273952,0.7475505825496458,0.32806743117946796,500
