cutoff,sex,n,GradientBoosting,GradientBoosting_raw,XGBoost,XGBoost_raw,LightGBM,LightGBM_raw
16,Male,957,"0.604 [0.502, 0.683]",0.6044464619492096,"0.607 [0.507, 0.683]",0.6070492847028105,"0.592 [0.492, 0.673]",0.5924742783473336
18,Male,2662,"0.799 [0.763, 0.829]",0.7989745819433482,"0.800 [0.765, 0.831]",0.8004111139582057,"0.800 [0.764, 0.831]",0.8002702941951529
18,Female,445,"0.738 [0.616, 0.829]",0.7381151367755174,"0.739 [0.617, 0.830]",0.739392477829943,"0.736 [0.605, 0.829]",0.735955169851956
